byte,count
377a,13
bcaf,9
271c,19
0004,11
f4a0,14
9c27,16
3366,12
553d,13
0100,27
0000,30
2600,10
3f36,9
824d,16
fff7,33
7851,14
255d,9
000a,10
08c7,15
36af,13
907f,11
8d54,15
6955,18
4a14,16
bfa2,18
0b4e,13
db52,16
c613,15
0204,12
1a1e,16
5b05,973
04f2,23
0d90,15
a033,14
995b,17
459a,19
8f92,9
8d9f,14
a77b,12
9365,13
fbbb,12
8a41,9
adf0,12
1233,20
fdf9,12
ff5f,12
b933,13
2ac6,11
2f23,19
95ed,18
f431,17
7dfb,14
78fd,14
60dc,11
8528,13
c665,22
ded2,15
dba8,16
98a7,13
7fd0,13
4d0e,11
bdd0,12
1a8a,17
fb8f,16
d06e,15
e787,11
0547,5
c2ac,10
6bf7,22
540b,20
d40d,14
7983,19
70f2,14
23dc,16
a4c5,14
819f,18
01a2,7
84be,12
e049,17
3fc2,20
bbe2,14
0799,15
8717,19
9ce3,19
93e3,10
ca96,23
1df3,12
80a1,12
c259,19
2101,10
0d96,19
d21a,20
6ed2,11
4e78,14
7990,17
ef61,11
e75f,12
e357,14
4ce4,17
a43f,9
e834,15
1d06,7
c615,23
6f61,11
06e7,14
63b0,10
7688,36
9d69,10
dc72,16
eea1,18
664e,15
345c,15
ada7,12
9068,18
7abe,5
b060,21
89ab,17
2b71,9
d1bd,18
d8b7,16
59a3,15
4e65,12
22f8,15
04a1,20
1e3f,16
d1b8,16
ad84,17
c7c4,12
2f11,12
c45c,14
d302,20
4b4e,14
51f4,14
0ccc,13
fcde,19
af1b,22
fcfa,12
e882,12
0d5b,15
4ef1,21
86e9,970
4a72,16
1fb5,17
4509,12
7047,13
8786,11
6330,14
57b8,13
59d5,20
e924,15
1637,21
d03c,12
bc91,12
2e23,20
ba4f,17
0fa0,10
eb1f,11
ad06,17
b0d3,14
02b9,20
07de,10
eb45,18
eff2,18
cb19,18
8a18,9
7655,21
0fbb,16
55e9,10
51a5,9
928c,16
4760,17
b3c5,20
b73a,17
8350,10
0a72,16
ccad,14
d60a,11
4734,11
e447,11
0b2e,10
a10a,13
7683,13
2143,12
edd2,10
ddc1,11
eb9d,9
